GRU V3
Métrica,Valor Estadístico
MAE Medio,46.44
RMSE Medio,59.78
MAPE Medio,4.14%
Desviación Típica (σ),± 0.59%
Mejor MAPE (Semilla 42),3.49%
Peor MAPE (Semilla 1111),5.65%

Seed,MAE,RMSE,MAPE
40,44.63,58.52,3.91%
121,47.91,58.17,4.44%
800,41.31,55.20,3.57%
3123,44.11,58.33,3.83%
46291,42.93,54.26,3.88%
1234,43.17,56.09,3.83%
5555,41.82,57.12,3.52%
9999,42.27,55.67,3.73%
42,39.40,50.55,3.49%
777,50.03,61.56,4.64%
10101,51.26,64.01,4.67%
2024,41.29,56.24,3.58%
8888,44.82,61.94,3.82%
3333,48.48,61.58,4.38%
1111,60.52,72.91,5.65%
2222,44.26,55.73,4.03%
6666,47.96,62.54,4.39%
7654,49.22,64.18,4.21%
9876,58.95,70.69,5.43%
54321,44.43,60.32,3.77%
