GRU V4
SEED: 3333
MAE: 43.46
RMSE: 59.19
MAPE: 3.84%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1640.6 |      278.6
2023-12-07 09:00:00  |     1537.0 |     1810.9 |      273.9
2023-12-07 07:00:00  |     1244.0 |     1511.5 |      267.5
2023-11-17 07:00:00  |     1267.0 |     1016.9 |      250.1
2023-11-27 06:00:00  |     1031.0 |     1274.3 |      243.3
2023-11-06 06:00:00  |      978.0 |     1198.2 |      220.2
2023-12-18 18:00:00  |     1796.0 |     1576.9 |      219.1
2023-10-30 06:00:00  |      984.0 |     1202.8 |      218.8
2023-11-08 09:00:00  |     2151.0 |     1932.5 |      218.5
2023-11-13 06:00:00  |     1037.0 |     1254.1 |      217.1
2023-10-23 07:00:00  |     1271.5 |     1485.8 |      214.3
2023-12-04 06:00:00  |      992.0 |     1205.0 |      213.0
2023-11-30 06:00:00  |     1059.0 |     1270.2 |      211.2
2023-11-29 06:00:00  |     1056.0 |     1259.5 |      203.5
2023-11-20 06:00:00  |     1041.0 |     1238.2 |      197.2
