GRU V4
SEED: 2222
MAE: 48.93
RMSE: 62.66
MAPE: 4.37%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1703.2 |      341.2
2023-11-08 09:00:00  |     2151.0 |     1870.1 |      280.9
2023-11-17 07:00:00  |     1267.0 |      987.1 |      279.9
2023-12-28 09:00:00  |     1319.0 |     1569.2 |      250.2
2023-12-20 07:00:00  |     1724.0 |     1481.8 |      242.2
2023-12-29 08:00:00  |     1020.0 |     1261.7 |      241.7
2023-12-18 07:00:00  |     1630.0 |     1389.7 |      240.3
2023-12-07 09:00:00  |     1537.0 |     1776.6 |      239.6
2023-12-28 08:00:00  |     1280.0 |     1514.8 |      234.8
2023-12-19 07:00:00  |     1674.0 |     1445.8 |      228.2
2023-12-18 18:00:00  |     1796.0 |     1569.9 |      226.1
2023-12-18 09:00:00  |     2665.0 |     2443.7 |      221.3
2023-12-29 09:00:00  |     1008.0 |     1228.5 |      220.5
2023-12-18 16:00:00  |     1893.0 |     1672.6 |      220.4
2023-11-08 10:00:00  |     2064.0 |     2282.0 |      218.0
