GRU V4
SEED: 6666
MAE: 60.87
RMSE: 72.37
MAPE: 5.52%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1680.8 |      318.8
2023-11-17 07:00:00  |     1267.0 |      963.1 |      303.9
2023-12-07 09:00:00  |     1537.0 |     1821.3 |      284.3
2023-11-17 08:00:00  |     1490.0 |     1206.6 |      283.4
2023-10-23 07:00:00  |     1271.5 |     1521.4 |      249.9
2023-11-08 09:00:00  |     2151.0 |     1924.8 |      226.2
2023-12-18 18:00:00  |     1796.0 |     1575.5 |      220.5
2023-12-21 13:00:00  |     2118.0 |     2330.8 |      212.8
2023-12-26 09:00:00  |     1543.0 |     1755.5 |      212.5
2023-12-11 07:00:00  |     1475.0 |     1266.2 |      208.8
2023-11-11 08:00:00  |     1237.0 |     1032.6 |      204.4
2023-11-27 11:00:00  |     2224.0 |     2421.8 |      197.8
2023-12-28 09:00:00  |     1319.0 |     1513.4 |      194.4
2023-11-28 18:00:00  |     1677.0 |     1484.8 |      192.2
2023-11-21 18:00:00  |     1473.0 |     1281.4 |      191.6
