LSTM V4
SEED: 1234
MAE: 60.13
RMSE: 76.34
MAPE: 5.30%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-11-17 08:00:00  |     1490.0 |     1133.5 |      356.5
2023-11-17 09:00:00  |     1670.0 |     1355.6 |      314.4
2023-12-27 09:00:00  |     1362.0 |     1667.2 |      305.2
2023-12-28 07:00:00  |     1106.0 |     1389.1 |      283.1
2023-12-27 07:00:00  |     1186.0 |     1458.2 |      272.2
2023-11-08 09:00:00  |     2151.0 |     1890.7 |      260.3
2023-11-27 11:00:00  |     2224.0 |     2483.6 |      259.6
2023-11-17 07:00:00  |     1267.0 |     1011.7 |      255.3
2023-12-29 07:00:00  |      973.5 |     1217.3 |      243.8
2023-12-26 12:00:00  |     1355.0 |     1596.6 |      241.6
2023-10-23 07:00:00  |     1271.5 |     1502.6 |      231.1
2023-12-26 07:00:00  |     1203.5 |     1429.3 |      225.8
2023-12-07 09:00:00  |     1537.0 |     1762.7 |      225.7
2023-12-27 10:00:00  |     1348.0 |     1569.2 |      221.2
2023-11-03 07:00:00  |     1170.5 |     1385.9 |      215.4
