LSTM V4
SEED: 2024
MAE: 50.79
RMSE: 67.93
MAPE: 4.34%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-07 09:00:00  |     1537.0 |     1968.1 |      431.1
2023-12-07 08:00:00  |     1505.0 |     1872.1 |      367.1
2023-12-07 07:00:00  |     1244.0 |     1586.7 |      342.7
2023-12-27 09:00:00  |     1362.0 |     1669.8 |      307.8
2023-12-26 07:00:00  |     1203.5 |     1496.9 |      293.4
2023-11-17 07:00:00  |     1267.0 |      996.5 |      270.5
2023-12-26 09:00:00  |     1543.0 |     1798.7 |      255.7
2023-12-26 08:00:00  |     1469.0 |     1724.1 |      255.1
2023-12-22 07:00:00  |     1467.0 |     1717.2 |      250.2
2023-12-07 10:00:00  |     1622.0 |     1863.5 |      241.5
2023-11-17 08:00:00  |     1490.0 |     1255.7 |      234.3
2023-12-18 16:00:00  |     1893.0 |     1659.8 |      233.2
2023-10-23 07:00:00  |     1271.5 |     1500.3 |      228.8
2023-11-11 08:00:00  |     1237.0 |     1021.6 |      215.4
2023-10-23 10:00:00  |     1446.0 |     1660.9 |      214.9
