LSTM V4
SEED: 800
MAE: 59.79
RMSE: 73.49
MAPE: 5.40%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-11-17 08:00:00  |     1490.0 |     1100.0 |      390.0
2023-11-17 09:00:00  |     1670.0 |     1319.1 |      350.9
2023-12-27 09:00:00  |     1362.0 |     1706.5 |      344.5
2023-11-17 07:00:00  |     1267.0 |      964.4 |      302.6
2023-12-20 07:00:00  |     1724.0 |     1448.9 |      275.1
2023-12-18 07:00:00  |     1630.0 |     1357.2 |      272.8
2023-12-18 16:00:00  |     1893.0 |     1636.2 |      256.8
2023-12-19 07:00:00  |     1674.0 |     1420.6 |      253.4
2023-11-08 09:00:00  |     2151.0 |     1910.8 |      240.2
2023-12-11 07:00:00  |     1475.0 |     1235.0 |      240.0
2023-12-18 18:00:00  |     1796.0 |     1578.6 |      217.4
2023-12-18 09:00:00  |     2665.0 |     2451.0 |      214.0
2023-12-27 10:00:00  |     1348.0 |     1557.3 |      209.3
2023-12-07 09:00:00  |     1537.0 |     1737.6 |      200.6
2023-11-27 08:00:00  |     2043.0 |     1845.8 |      197.2
