LSTM V4
SEED: 121
MAE: 61.12
RMSE: 78.83
MAPE: 5.23%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1786.7 |      424.7
2023-11-17 08:00:00  |     1490.0 |     1175.4 |      314.6
2023-12-28 09:00:00  |     1319.0 |     1625.7 |      306.7
2023-11-08 10:00:00  |     2064.0 |     2368.6 |      304.6
2023-11-17 09:00:00  |     1670.0 |     1368.1 |      301.9
2023-12-26 09:00:00  |     1543.0 |     1838.0 |      295.0
2023-12-07 09:00:00  |     1537.0 |     1831.0 |      294.0
2023-11-27 11:00:00  |     2224.0 |     2504.6 |      280.6
2023-12-27 10:00:00  |     1348.0 |     1628.0 |      280.0
2023-11-17 07:00:00  |     1267.0 |     1002.3 |      264.7
2023-11-23 11:00:00  |     1922.0 |     2181.5 |      259.5
2023-11-24 11:00:00  |     1904.0 |     2163.2 |      259.2
2023-12-28 08:00:00  |     1280.0 |     1537.4 |      257.4
2023-11-03 10:00:00  |     1597.0 |     1851.2 |      254.2
2023-11-16 12:00:00  |     1749.0 |     1998.2 |      249.2
