LSTM V1
Métrica,Valor Estadístico
MAE Medio,50.64
RMSE Medio,66.31
MAPE Medio,4.47%
Desviación Típica (σ),± 0.70%
Mejor MAPE (Semilla 3123),3.14%
Peor MAPE (Semilla 9876),5.95%

Seed,MAE,RMSE,MAPE
40,52.14,66.48,4.64%
121,56.39,74.85,5.12%
800,45.66,62.05,3.89%
3123,36.52,52.38,3.14%
46291,49.83,74.66,4.02%
1234,47.47,63.78,4.12%
5555,54.28,69.42,4.95%
9999,56.55,70.30,5.00%
42,43.88,58.68,3.80%
777,44.81,59.55,3.91%
10101,39.36,55.18,3.32%
2024,46.43,67.74,4.07%
8888,47.50,62.81,4.20%
3333,52.04,65.65,4.77%
1111,54.26,71.26,4.66%
2222,47.75,66.31,4.12%
6666,61.22,76.47,5.49%
7654,56.12,69.20,5.12%
9876,65.07,79.51,5.95%
54321,55.63,69.59,5.04%
