GRU V4
SEED: 2024
MAE: 50.20
RMSE: 63.07
MAPE: 4.53%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1727.2 |      365.2
2023-12-07 09:00:00  |     1537.0 |     1870.7 |      333.7
2023-12-26 09:00:00  |     1543.0 |     1834.9 |      291.9
2023-12-07 07:00:00  |     1244.0 |     1529.9 |      285.9
2023-12-04 06:00:00  |      992.0 |     1251.9 |      259.9
2023-12-18 06:00:00  |     1012.0 |     1259.3 |      247.3
2023-11-27 06:00:00  |     1031.0 |     1268.1 |      237.1
2023-11-17 07:00:00  |     1267.0 |     1036.8 |      230.2
2023-11-20 06:00:00  |     1041.0 |     1268.8 |      227.8
2023-12-26 08:00:00  |     1469.0 |     1694.6 |      225.6
2023-12-07 08:00:00  |     1505.0 |     1723.3 |      218.3
2023-11-08 10:00:00  |     2064.0 |     2273.9 |      209.9
2023-10-23 07:00:00  |     1271.5 |     1476.4 |      204.9
2023-11-13 06:00:00  |     1037.0 |     1228.7 |      191.7
2023-12-22 08:00:00  |     1891.0 |     2079.5 |      188.5
