GRU V4
SEED: 800
MAE: 48.49
RMSE: 61.88
MAPE: 4.29%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1761.5 |      399.5
2023-12-07 09:00:00  |     1537.0 |     1850.6 |      313.6
2023-12-26 09:00:00  |     1543.0 |     1804.1 |      261.1
2023-11-08 10:00:00  |     2064.0 |     2293.1 |      229.1
2023-12-26 12:00:00  |     1355.0 |     1578.6 |      223.6
2023-12-28 09:00:00  |     1319.0 |     1536.4 |      217.4
2023-12-07 07:00:00  |     1244.0 |     1459.7 |      215.7
2023-12-27 08:00:00  |     1428.0 |     1638.1 |      210.1
2023-12-07 08:00:00  |     1505.0 |     1711.5 |      206.5
2023-10-23 07:00:00  |     1271.5 |     1470.8 |      199.3
2023-12-18 18:00:00  |     1796.0 |     1599.4 |      196.6
2023-12-26 10:00:00  |     1564.0 |     1749.3 |      185.3
2023-10-27 10:00:00  |     1661.0 |     1844.0 |      183.0
2023-12-07 13:00:00  |     1473.0 |     1654.0 |      181.0
2023-12-26 08:00:00  |     1469.0 |     1649.1 |      180.1
