GRU V4
SEED: 9876
MAE: 44.59
RMSE: 55.02
MAPE: 4.11%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-11-08 09:00:00  |     2151.0 |     1851.3 |      299.7
2023-11-17 07:00:00  |     1267.0 |     1012.3 |      254.7
2023-12-18 09:00:00  |     2665.0 |     2413.9 |      251.1
2023-12-27 09:00:00  |     1362.0 |     1601.1 |      239.1
2023-11-17 08:00:00  |     1490.0 |     1251.3 |      238.7
2023-12-18 07:00:00  |     1630.0 |     1424.5 |      205.5
2023-11-17 09:00:00  |     1670.0 |     1470.4 |      199.6
2023-10-23 07:00:00  |     1271.5 |     1470.3 |      198.8
2023-12-19 09:00:00  |     2684.0 |     2485.4 |      198.6
2023-11-02 09:00:00  |     1751.0 |     1559.5 |      191.5
2023-12-11 09:00:00  |     2300.0 |     2110.8 |      189.2
2023-10-23 06:00:00  |     1139.0 |      957.8 |      181.2
2023-12-11 07:00:00  |     1475.0 |     1294.7 |      180.3
2023-11-27 07:00:00  |     1537.0 |     1364.1 |      172.9
2023-11-27 11:00:00  |     2224.0 |     2393.6 |      169.6
