LSTM V4
SEED: 2222
MAE: 56.59
RMSE: 70.76
MAPE: 5.06%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-11-17 09:00:00  |     1670.0 |     1270.2 |      399.8
2023-11-17 08:00:00  |     1490.0 |     1092.7 |      397.3
2023-12-27 09:00:00  |     1362.0 |     1683.1 |      321.1
2023-11-17 07:00:00  |     1267.0 |      979.0 |      288.0
2023-12-07 09:00:00  |     1537.0 |     1811.5 |      274.5
2023-11-08 09:00:00  |     2151.0 |     1922.4 |      228.6
2023-12-26 09:00:00  |     1543.0 |     1767.2 |      224.2
2023-12-22 07:00:00  |     1467.0 |     1675.7 |      208.7
2023-11-17 10:00:00  |     1660.0 |     1451.4 |      208.6
2023-12-18 16:00:00  |     1893.0 |     1685.5 |      207.5
2023-11-11 08:00:00  |     1237.0 |     1032.9 |      204.1
2023-10-23 10:00:00  |     1446.0 |     1647.1 |      201.1
2023-12-28 19:00:00  |     1128.0 |      928.6 |      199.4
2023-12-15 19:00:00  |     1470.0 |     1271.9 |      198.1
2023-12-22 06:00:00  |     1043.0 |     1241.1 |      198.1
