LSTM V4
SEED: 777
MAE: 58.65
RMSE: 74.71
MAPE: 5.15%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-11-17 08:00:00  |     1490.0 |     1081.9 |      408.1
2023-12-27 09:00:00  |     1362.0 |     1723.2 |      361.2
2023-11-17 09:00:00  |     1670.0 |     1315.8 |      354.2
2023-11-17 07:00:00  |     1267.0 |      945.9 |      321.1
2023-12-27 10:00:00  |     1348.0 |     1637.4 |      289.4
2023-12-26 09:00:00  |     1543.0 |     1827.6 |      284.6
2023-11-08 09:00:00  |     2151.0 |     1875.1 |      275.9
2023-12-07 09:00:00  |     1537.0 |     1801.2 |      264.2
2023-10-23 10:00:00  |     1446.0 |     1707.3 |      261.3
2023-12-26 12:00:00  |     1355.0 |     1600.6 |      245.6
2023-12-26 10:00:00  |     1564.0 |     1808.3 |      244.3
2023-12-26 11:00:00  |     1510.0 |     1730.0 |      220.0
2023-12-27 11:00:00  |     1304.0 |     1522.0 |      218.0
2023-11-11 08:00:00  |     1237.0 |     1020.1 |      216.9
2023-12-15 19:00:00  |     1470.0 |     1262.3 |      207.7
