LSTM V4
SEED: 3123
MAE: 65.73
RMSE: 82.87
MAPE: 6.07%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-28 07:00:00  |     1106.0 |     1551.8 |      445.8
2023-12-27 09:00:00  |     1362.0 |     1785.1 |      423.1
2023-12-28 08:00:00  |     1280.0 |     1672.0 |      392.0
2023-12-27 07:00:00  |     1186.0 |     1561.3 |      375.3
2023-12-26 07:00:00  |     1203.5 |     1557.4 |      353.9
2023-10-23 07:00:00  |     1271.5 |     1621.5 |      350.0
2023-12-28 09:00:00  |     1319.0 |     1668.0 |      349.0
2023-11-06 07:00:00  |     1218.0 |     1562.5 |      344.5
2023-12-07 09:00:00  |     1537.0 |     1875.3 |      338.3
2023-12-26 08:00:00  |     1469.0 |     1800.7 |      331.7
2023-12-26 09:00:00  |     1543.0 |     1868.4 |      325.4
2023-12-27 08:00:00  |     1428.0 |     1744.8 |      316.8
2023-12-29 08:00:00  |     1020.0 |     1302.6 |      282.6
2023-10-30 07:00:00  |     1172.5 |     1449.2 |      276.7
2023-11-06 08:00:00  |     1458.0 |     1734.4 |      276.4
