GRU V1
Métrica,Valor Estadístico
MAE Medio,44.57
RMSE Medio,58.00
MAPE Medio,3.99%
Desviación Típica (σ),± 0.46%
Mejor MAPE (Semilla 8888),3.11%
Peor MAPE (Semilla 800),5.01%

Seed,MAE,RMSE,MAPE
40,48.96,63.70,4.56%
121,39.20,56.76,3.28%
800,53.37,63.47,5.01%
3123,46.57,58.87,4.21%
46291,48.97,61.77,4.44%
1234,42.27,57.37,3.60%
5555,43.49,57.45,3.84%
9999,43.70,57.50,3.84%
42,45.75,56.38,4.24%
777,43.81,56.22,3.97%
10101,43.03,55.79,3.88%
2024,47.20,63.00,4.06%
8888,36.13,50.95,3.11%
3333,45.99,57.62,4.15%
1111,47.70,65.82,4.09%
2222,43.35,59.36,3.78%
6666,43.07,58.53,3.77%
7654,48.98,63.24,4.36%
9876,41.80,54.97,3.75%
54321,38.04,54.71,3.29%
