LSTM V4
SEED: 6666
MAE: 61.64
RMSE: 74.01
MAPE: 5.65%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1718.3 |      356.3
2023-12-07 09:00:00  |     1537.0 |     1844.9 |      307.9
2023-12-28 09:00:00  |     1319.0 |     1623.2 |      304.2
2023-12-28 08:00:00  |     1280.0 |     1557.6 |      277.6
2023-12-29 09:00:00  |     1008.0 |     1283.5 |      275.5
2023-12-29 08:00:00  |     1020.0 |     1287.6 |      267.6
2023-11-17 08:00:00  |     1490.0 |     1224.3 |      265.7
2023-10-23 07:00:00  |     1271.5 |     1512.4 |      240.9
2023-11-17 07:00:00  |     1267.0 |     1030.4 |      236.6
2023-12-27 10:00:00  |     1348.0 |     1560.1 |      212.1
2023-12-07 08:00:00  |     1505.0 |     1713.7 |      208.7
2023-12-26 09:00:00  |     1543.0 |     1751.0 |      208.0
2023-11-16 12:00:00  |     1749.0 |     1950.2 |      201.2
2023-12-29 07:00:00  |      973.5 |     1172.3 |      198.8
2023-12-18 16:00:00  |     1893.0 |     1696.7 |      196.3
