LSTM V4
SEED: 8888
MAE: 69.66
RMSE: 90.31
MAPE: 6.44%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-25 07:00:00  |      861.0 |     1346.8 |      485.8
2023-12-27 09:00:00  |     1362.0 |     1707.9 |      345.9
2023-12-27 07:00:00  |     1186.0 |     1528.7 |      342.7
2023-12-28 07:00:00  |     1106.0 |     1427.5 |      321.5
2023-10-23 07:00:00  |     1271.5 |     1592.1 |      320.6
2023-12-25 06:00:00  |      868.0 |     1177.1 |      309.1
2023-12-28 08:00:00  |     1280.0 |     1586.2 |      306.2
2023-11-06 07:00:00  |     1218.0 |     1520.1 |      302.1
2023-12-25 08:00:00  |      854.0 |     1155.8 |      301.8
2023-10-23 06:00:00  |     1139.0 |     1440.3 |      301.3
2023-11-01 06:00:00  |      883.0 |     1179.1 |      296.1
2023-11-27 06:00:00  |     1031.0 |     1323.2 |      292.2
2023-12-26 07:00:00  |     1203.5 |     1493.2 |      289.7
2023-11-13 06:00:00  |     1037.0 |     1324.3 |      287.3
2023-10-30 07:00:00  |     1172.5 |     1458.7 |      286.2
