LSTM V2
Métrica,Valor Estadístico
MAE Medio,54.89
RMSE Medio,69.72
MAPE Medio,4.93%
Desviación Típica (σ),± 0.68%
Mejor MAPE (Semilla 40),3.64%
Peor MAPE (Semilla 121),6.28%

Seed,MAE,RMSE,MAPE
40,42.61,59.98,3.64%
121,67.21,81.35,6.28%
800,58.48,71.53,5.33%
3123,53.15,68.36,4.71%
46291,65.23,76.29,6.06%
1234,51.31,64.82,4.63%
5555,68.43,85.03,6.17%
9999,53.69,66.57,4.77%
42,52.69,68.63,4.66%
777,45.23,59.57,3.94%
10101,53.67,68.35,4.62%
2024,56.17,68.07,5.20%
8888,52.42,68.33,4.73%
3333,57.06,69.82,5.30%
1111,53.50,68.39,4.74%
2222,58.69,77.10,4.99%
6666,54.43,68.53,4.98%
7654,45.46,59.96,4.02%
9876,58.14,68.79,5.37%
54321,50.28,64.81,4.41%
