GRU V4
SEED: 1234
MAE: 50.07
RMSE: 63.34
MAPE: 4.51%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1751.1 |      389.1
2023-12-07 09:00:00  |     1537.0 |     1901.2 |      364.2
2023-12-26 09:00:00  |     1543.0 |     1855.8 |      312.8
2023-12-07 07:00:00  |     1244.0 |     1485.3 |      241.3
2023-12-11 07:00:00  |     1475.0 |     1234.6 |      240.4
2023-12-20 10:00:00  |     2775.0 |     2552.1 |      222.9
2023-11-17 07:00:00  |     1267.0 |     1056.0 |      211.0
2023-12-26 08:00:00  |     1469.0 |     1677.7 |      208.7
2023-11-02 06:00:00  |     1003.0 |     1207.9 |      204.9
2023-12-18 18:00:00  |     1796.0 |     1594.5 |      201.5
2023-12-07 08:00:00  |     1505.0 |     1700.8 |      195.8
2023-12-01 18:00:00  |     1454.0 |     1260.5 |      193.5
2023-10-30 06:00:00  |      984.0 |     1167.6 |      183.6
2023-12-19 09:00:00  |     2684.0 |     2500.6 |      183.4
2023-10-31 10:00:00  |     1678.0 |     1850.9 |      172.9
