LSTM V4
SEED: 9999
MAE: 64.38
RMSE: 82.82
MAPE: 5.88%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-10-30 06:00:00  |      984.0 |     1365.0 |      381.0
2023-11-17 08:00:00  |     1490.0 |     1122.5 |      367.5
2023-11-27 06:00:00  |     1031.0 |     1393.9 |      362.9
2023-11-17 09:00:00  |     1670.0 |     1334.0 |      336.0
2023-12-27 09:00:00  |     1362.0 |     1689.1 |      327.1
2023-10-27 06:00:00  |     1008.0 |     1332.1 |      324.1
2023-11-28 06:00:00  |     1077.0 |     1385.5 |      308.5
2023-11-13 06:00:00  |     1037.0 |     1334.4 |      297.4
2023-10-31 06:00:00  |      977.0 |     1273.4 |      296.4
2023-10-23 06:00:00  |     1139.0 |     1423.1 |      284.1
2023-12-07 09:00:00  |     1537.0 |     1815.9 |      278.9
2023-11-24 06:00:00  |     1075.0 |     1352.6 |      277.6
2023-11-10 06:00:00  |     1068.0 |     1334.3 |      266.3
2023-11-06 06:00:00  |      978.0 |     1242.5 |      264.5
2023-11-08 09:00:00  |     2151.0 |     1889.0 |      262.0
