LSTM V4
SEED: 46291
MAE: 58.64
RMSE: 69.93
MAPE: 5.42%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1699.0 |      337.0
2023-11-17 08:00:00  |     1490.0 |     1169.6 |      320.4
2023-11-17 09:00:00  |     1670.0 |     1378.8 |      291.2
2023-11-17 07:00:00  |     1267.0 |      985.6 |      281.4
2023-12-07 09:00:00  |     1537.0 |     1792.7 |      255.7
2023-12-28 08:00:00  |     1280.0 |     1502.4 |      222.4
2023-11-08 10:00:00  |     2064.0 |     2278.5 |      214.5
2023-12-28 09:00:00  |     1319.0 |     1530.5 |      211.5
2023-11-08 09:00:00  |     2151.0 |     1943.3 |      207.7
2023-12-27 08:00:00  |     1428.0 |     1631.3 |      203.3
2023-11-11 08:00:00  |     1237.0 |     1052.7 |      184.3
2023-12-26 09:00:00  |     1543.0 |     1719.2 |      176.2
2023-10-23 07:00:00  |     1271.5 |     1442.6 |      171.1
2023-11-17 19:00:00  |     1303.0 |     1133.0 |      170.0
2023-11-27 11:00:00  |     2224.0 |     2393.3 |      169.3
