GRU V4
SEED: 8888
MAE: 59.43
RMSE: 75.04
MAPE: 5.53%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-07 07:00:00  |     1244.0 |     1655.0 |      411.0
2023-12-27 09:00:00  |     1362.0 |     1758.8 |      396.8
2023-12-07 09:00:00  |     1537.0 |     1877.8 |      340.8
2023-10-23 07:00:00  |     1271.5 |     1592.6 |      321.1
2023-12-26 09:00:00  |     1543.0 |     1856.7 |      313.7
2023-11-02 07:00:00  |     1217.5 |     1522.8 |      305.3
2023-12-26 08:00:00  |     1469.0 |     1768.7 |      299.7
2023-11-03 07:00:00  |     1170.5 |     1453.6 |      283.1
2023-12-07 08:00:00  |     1505.0 |     1785.9 |      280.9
2023-10-26 07:00:00  |     1297.5 |     1571.3 |      273.8
2023-11-07 07:00:00  |     1235.5 |     1499.7 |      264.2
2023-10-27 07:00:00  |     1243.0 |     1501.2 |      258.2
2023-10-31 07:00:00  |     1178.5 |     1435.5 |      257.0
2023-11-30 07:00:00  |     1396.5 |     1644.8 |      248.3
2023-12-06 08:00:00  |      923.0 |     1163.9 |      240.9
