GRU V4
SEED: 777
MAE: 44.44
RMSE: 56.45
MAPE: 3.97%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1640.6 |      278.6
2023-11-17 07:00:00  |     1267.0 |      994.6 |      272.4
2023-12-26 09:00:00  |     1543.0 |     1789.7 |      246.7
2023-12-07 09:00:00  |     1537.0 |     1770.8 |      233.8
2023-12-18 18:00:00  |     1796.0 |     1562.6 |      233.4
2023-11-08 09:00:00  |     2151.0 |     1943.5 |      207.5
2023-11-17 08:00:00  |     1490.0 |     1285.8 |      204.2
2023-11-08 10:00:00  |     2064.0 |     2256.2 |      192.2
2023-12-27 07:00:00  |     1186.0 |      998.1 |      187.9
2023-12-11 07:00:00  |     1475.0 |     1288.3 |      186.7
2023-10-23 07:00:00  |     1271.5 |     1456.9 |      185.4
2023-12-20 18:00:00  |     1757.0 |     1585.3 |      171.7
2023-11-11 07:00:00  |     1138.0 |      967.8 |      170.2
2023-11-11 08:00:00  |     1237.0 |     1067.6 |      169.4
2023-10-27 10:00:00  |     1661.0 |     1827.3 |      166.3
