LSTM V4
SEED: 10101
MAE: 53.26
RMSE: 67.27
MAPE: 4.71%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-11-17 08:00:00  |     1490.0 |     1194.2 |      295.8
2023-11-08 09:00:00  |     2151.0 |     1892.7 |      258.3
2023-12-18 09:00:00  |     2665.0 |     2415.8 |      249.2
2023-11-17 07:00:00  |     1267.0 |     1023.9 |      243.1
2023-12-27 09:00:00  |     1362.0 |     1589.3 |      227.3
2023-12-18 16:00:00  |     1893.0 |     1667.2 |      225.8
2023-12-22 06:00:00  |     1043.0 |     1265.5 |      222.5
2023-12-07 09:00:00  |     1537.0 |     1753.0 |      216.0
2023-10-23 10:00:00  |     1446.0 |     1661.6 |      215.6
2023-12-19 09:00:00  |     2684.0 |     2475.5 |      208.5
2023-12-11 09:00:00  |     2300.0 |     2095.4 |      204.6
2023-11-17 09:00:00  |     1670.0 |     1472.7 |      197.3
2023-11-29 06:00:00  |     1056.0 |     1247.5 |      191.5
2023-11-11 08:00:00  |     1237.0 |     1048.6 |      188.4
2023-11-16 12:00:00  |     1749.0 |     1936.7 |      187.7
