GRU V4
SEED: 5555
MAE: 44.68
RMSE: 56.53
MAPE: 3.98%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1712.2 |      350.2
2023-11-17 07:00:00  |     1267.0 |      996.0 |      271.0
2023-12-07 09:00:00  |     1537.0 |     1807.2 |      270.2
2023-10-23 07:00:00  |     1271.5 |     1534.6 |      263.1
2023-11-17 08:00:00  |     1490.0 |     1234.7 |      255.3
2023-12-07 07:00:00  |     1244.0 |     1486.1 |      242.1
2023-12-26 09:00:00  |     1543.0 |     1767.8 |      224.8
2023-12-07 08:00:00  |     1505.0 |     1707.5 |      202.5
2023-11-08 09:00:00  |     2151.0 |     1948.6 |      202.4
2023-11-08 10:00:00  |     2064.0 |     2256.3 |      192.3
2023-12-18 18:00:00  |     1796.0 |     1609.3 |      186.7
2023-11-11 07:00:00  |     1138.0 |      956.4 |      181.6
2023-11-11 08:00:00  |     1237.0 |     1057.5 |      179.5
2023-10-27 10:00:00  |     1661.0 |     1839.1 |      178.1
2023-11-27 11:00:00  |     2224.0 |     2401.7 |      177.7
