LSTM V4
SEED: 40
MAE: 64.79
RMSE: 96.44
MAPE: 5.80%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-28 07:00:00  |     1106.0 |     1792.1 |      686.1
2023-12-27 07:00:00  |     1186.0 |     1814.6 |      628.6
2023-12-29 07:00:00  |      973.5 |     1569.8 |      596.3
2023-12-27 08:00:00  |     1428.0 |     1982.9 |      554.9
2023-12-27 09:00:00  |     1362.0 |     1906.1 |      544.1
2023-12-29 06:00:00  |      927.0 |     1463.2 |      536.2
2023-10-30 06:00:00  |      984.0 |     1506.4 |      522.4
2023-11-06 06:00:00  |      978.0 |     1447.4 |      469.4
2023-10-27 06:00:00  |     1008.0 |     1467.9 |      459.9
2023-12-28 08:00:00  |     1280.0 |     1732.4 |      452.4
2023-10-31 06:00:00  |      977.0 |     1418.8 |      441.8
2023-11-17 08:00:00  |     1490.0 |     1065.7 |      424.3
2023-11-03 06:00:00  |      985.0 |     1395.5 |      410.5
2023-11-13 06:00:00  |     1037.0 |     1444.7 |      407.7
2023-11-17 09:00:00  |     1670.0 |     1269.6 |      400.4
