GRU V4
SEED: 121
MAE: 59.62
RMSE: 70.88
MAPE: 5.69%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-26 08:00:00  |     1469.0 |     1769.7 |      300.7
2023-12-07 07:00:00  |     1244.0 |     1530.6 |      286.6
2023-12-07 09:00:00  |     1537.0 |     1795.5 |      258.5
2023-12-27 09:00:00  |     1362.0 |     1613.7 |      251.7
2023-10-23 07:00:00  |     1271.5 |     1514.7 |      243.2
2023-11-08 09:00:00  |     2151.0 |     1915.6 |      235.4
2023-12-07 08:00:00  |     1505.0 |     1724.6 |      219.6
2023-11-03 07:00:00  |     1170.5 |     1386.4 |      215.9
2023-12-01 18:00:00  |     1454.0 |     1240.9 |      213.1
2023-12-18 18:00:00  |     1796.0 |     1586.1 |      209.9
2023-12-26 09:00:00  |     1543.0 |     1750.3 |      207.3
2023-10-30 06:00:00  |      984.0 |     1189.1 |      205.1
2023-12-27 08:00:00  |     1428.0 |     1631.7 |      203.7
2023-12-06 06:00:00  |      910.0 |     1107.6 |      197.6
2023-11-06 07:00:00  |     1218.0 |     1414.2 |      196.2
