GRU V4
SEED: 46291
MAE: 52.75
RMSE: 65.91
MAPE: 4.74%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1730.7 |      368.7
2023-10-23 07:00:00  |     1271.5 |     1542.9 |      271.4
2023-12-07 09:00:00  |     1537.0 |     1793.7 |      256.7
2023-11-08 09:00:00  |     2151.0 |     1899.3 |      251.7
2023-12-26 09:00:00  |     1543.0 |     1793.9 |      250.9
2023-12-29 09:00:00  |     1008.0 |     1258.5 |      250.5
2023-12-28 09:00:00  |     1319.0 |     1568.9 |      249.9
2023-11-17 08:00:00  |     1490.0 |     1245.4 |      244.6
2023-12-18 09:00:00  |     2665.0 |     2423.8 |      241.2
2023-11-17 07:00:00  |     1267.0 |     1038.5 |      228.5
2023-12-19 09:00:00  |     2684.0 |     2460.2 |      223.8
2023-11-08 10:00:00  |     2064.0 |     2286.9 |      222.9
2023-12-29 08:00:00  |     1020.0 |     1238.4 |      218.4
2023-12-18 07:00:00  |     1630.0 |     1435.8 |      194.2
2023-12-18 16:00:00  |     1893.0 |     1699.4 |      193.6
