GRU V4
SEED: 7654
MAE: 53.96
RMSE: 71.81
MAPE: 4.91%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-27 09:00:00  |     1362.0 |     1750.7 |      388.7
2023-12-20 06:00:00  |     1092.0 |     1434.2 |      342.2
2023-11-27 06:00:00  |     1031.0 |     1359.9 |      328.9
2023-12-04 06:00:00  |      992.0 |     1317.4 |      325.4
2023-10-23 07:00:00  |     1271.5 |     1587.7 |      316.2
2023-12-18 06:00:00  |     1012.0 |     1314.3 |      302.3
2023-12-19 06:00:00  |     1068.0 |     1367.8 |      299.8
2023-12-18 09:00:00  |     2665.0 |     2378.5 |      286.5
2023-12-21 06:00:00  |     1064.0 |     1348.3 |      284.3
2023-12-07 07:00:00  |     1244.0 |     1520.6 |      276.6
2023-11-08 09:00:00  |     2151.0 |     1879.8 |      271.2
2023-11-20 06:00:00  |     1041.0 |     1310.3 |      269.3
2023-12-05 06:00:00  |     1011.0 |     1278.2 |      267.2
2023-11-06 06:00:00  |      978.0 |     1243.7 |      265.7
2023-11-29 06:00:00  |     1056.0 |     1312.0 |      256.0
