GRU V4
SEED: 9999
MAE: 46.03
RMSE: 58.24
MAPE: 4.18%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-18 09:00:00  |     2665.0 |     2388.2 |      276.8
2023-11-08 09:00:00  |     2151.0 |     1886.4 |      264.6
2023-12-19 09:00:00  |     2684.0 |     2448.1 |      235.9
2023-11-27 06:00:00  |     1031.0 |     1266.2 |      235.2
2023-12-07 09:00:00  |     1537.0 |     1769.7 |      232.7
2023-11-20 06:00:00  |     1041.0 |     1265.7 |      224.7
2023-12-27 09:00:00  |     1362.0 |     1585.4 |      223.4
2023-12-11 09:00:00  |     2300.0 |     2089.3 |      210.7
2023-11-27 08:00:00  |     2043.0 |     1836.0 |      207.0
2023-10-30 06:00:00  |      984.0 |     1190.1 |      206.1
2023-12-07 07:00:00  |     1244.0 |     1445.2 |      201.2
2023-11-17 08:00:00  |     1490.0 |     1296.7 |      193.3
2023-11-13 06:00:00  |     1037.0 |     1229.0 |      192.0
2023-10-23 07:00:00  |     1271.5 |     1462.1 |      190.6
2023-11-17 07:00:00  |     1267.0 |     1082.3 |      184.7
