GRU V4
SEED: 3123
MAE: 45.36
RMSE: 59.28
MAPE: 3.97%

TOP 15 PEORES PREDICCIONES:
Fecha                |       Real |       Pred |      Error
2023-12-18 09:00:00  |     2665.0 |     2413.3 |      251.7
2023-11-27 08:00:00  |     2043.0 |     1803.1 |      239.9
2023-11-08 09:00:00  |     2151.0 |     1918.7 |      232.3
2023-12-07 07:00:00  |     1244.0 |     1472.4 |      228.4
2023-12-07 09:00:00  |     1537.0 |     1762.4 |      225.4
2023-11-17 07:00:00  |     1267.0 |     1057.6 |      209.4
2023-10-30 09:00:00  |     1655.0 |     1452.7 |      202.3
2023-11-17 08:00:00  |     1490.0 |     1291.1 |      198.9
2023-12-19 09:00:00  |     2684.0 |     2485.8 |      198.2
2023-12-18 18:00:00  |     1796.0 |     1600.0 |      196.0
2023-12-11 08:00:00  |     1959.0 |     1780.1 |      178.9
2023-11-16 12:00:00  |     1749.0 |     1927.5 |      178.5
2023-12-11 09:00:00  |     2300.0 |     2123.6 |      176.4
2023-12-18 08:00:00  |     2248.0 |     2072.8 |      175.2
2023-12-11 07:00:00  |     1475.0 |     1299.9 |      175.1
